Date,KBP1424D,KBP1425D,KBP1437D,KBP1438D,KBP1440D,KBP1456D,KBP1457D,KBP1481D,KBP1482D,KBP1484D
1998-08-22,,,0,,,,,0,1278,
1998-08-24,,,9500,,,,,0,6,
1998-08-25,,,9600,,,,,0,0,
1998-08-26,,,10000,,,,,0,0,
1998-08-27,,,10100,,,,,0,184,
1998-08-28,,,9500,,,,,0,984,
1998-08-29,,,0,,,,,0,336,
1998-08-31,,,9800,,,,,0,0,
1998-09-01,,,11000,,,,,0,580,
1998-09-02,,,10400,,,,,0,304,
1998-09-03,,,10000,,,,,0,324,
1998-09-04,,,9500,,,,,0,33,
1998-09-05,,,0,,,,,0,15,
1998-09-07,,,9100,,,,,0,0,
1998-09-08,,,8700,,,,,0,480,
1998-09-09,,,8000,,,,,0,104,
1998-09-10,,,7900,,,,,0,0,
1998-09-11,,,7800,,,,,0,55,
1998-09-12,,,0,,,,,0,0,
1998-09-14,,,7000,,,,,0,202,
1998-09-15,,,8100,,,,,0,0,
1998-09-16,,,8200,,,,,0,0,
1998-09-17,,,7900,,,,,0,76,
1998-09-18,,,7500,,,,,0,0,
1998-09-19,,,0,,,,,0,37,
1998-09-21,,,7100,,,,,0,486,
1998-09-22,,,7600,,,,,0,0,
1998-09-23,,,7900,,,,,0,35,
1998-09-24,,,0,,,,,0,0,
1998-09-25,,,6700,,,,,0,731,
1998-09-26,,,0,,,,,0,492,
1998-09-28,,,6900,,,,,0,168,
1998-09-29,,,7000,,,,,0,0,
1998-09-30,,,6700,,,,,-271,0,
1998-10-01,,,6700,,,,,0,0,
1998-10-02,,,6400,,,,,-80,0,
1998-10-03,,,0,,,,,0,0,
1998-10-05,,,6200,,,,,0,459,
1998-10-06,,,6400,,,,,0,0,
1998-10-07,,,6600,,,,,-165,0,
1998-10-08,,,6600,,,,,0,0,
1998-10-09,,,6000,,,,,0,4,
1998-10-10,,,0,,,,,0,0,
1998-10-12,,,5600,,,,,0,0,
1998-10-13,,,5500,,,,,0,0,
1998-10-14,,,5550,,,,,-83,0,
1998-10-15,,,5250,,,,,0,0,
1998-10-16,,,5600,,,,,0,130,
1998-10-17,,,0,,,,,-17,0,
1998-10-19,,,5600,,,,,-70,0,
1998-10-20,,,5900,,,,,0,122,
1998-10-21,,,6000,,,,,0,0,
1998-10-22,,,5700,,,,,-374,0,
1998-10-23,,,5300,,,,,0,0,
1998-10-24,,,0,,,,,0,0,
1998-10-26,,,5700,,,,,0,0,
1998-10-27,,,6400,,,,,-158,0,
1998-10-28,,,6800,,,,,0,0,
1998-10-29,,,6700,,,,,0,0,
1998-10-30,,,5900,,,,,-11,0,
1998-10-31,,,0,,,,,-35,0,
1998-11-02,,,5700,,,,,0,0,
1998-11-03,,,6200,,,,,0,0,
1998-11-04,,,6500,,,,,0,0,
1998-11-05,,,7300,,,,,-12,0,
